index	pair_ID	pair_type	sentence_A	sentence_A_expRule	sentence_B	sentence_B_expRule	relatedness_score	entailment_label	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set	jpg
104	193	S1S2_intra	Someone is on a black and white motorcycle and is standing on the seat	S1_null	A rider is on a black and white bike and is standing on the seat	S2_lex	4.6	ENTAILMENT	A_entails_B	B_neutral_A	Someone is on a black and white motorcycle and putting their feet on the seat.	Someone is on a black and white motorcycle and putting their feet on the seat.	FLICKR	FLICKR	TEST	2719102611_fef453bf30.jpg#3
106	198	S1S3_inter	Someone is on a black and white motorcycle and is standing on the seat	S1_null	No motorcycle rider is standing up on the seat of a motorcycle	S3_null	3.6	CONTRADICTION	A_contradicts_B	B_contradicts_A	Someone is on a black and white motorcycle and putting their feet on the seat.	A motorcycle rider starts to sand up on the seat of his white motorcycle.	FLICKR	FLICKR	TEST	2719102611_fef453bf30.jpg#3
109	208	S1S1_inter	A motorcyclist with a red helmet is riding a blue motorcycle down the road	S1_null	A motorcyclist is riding a motorbike along a roadway	S1_null	4.5	ENTAILMENT	A_entails_B	B_neutral_A	A motorcyclist is riding their sponsored car along a roadway that has recently turned.	A motorcyclist with a red helmet rides his blue motorcycle down the road.	FLICKR	FLICKR	TEST	166433861_70b66cd381.jpg#2
121	222	S1S4_intra	The blond girl is dancing in front of the sound equipment	S1_null	The equipment in front of the blond dancing girl is sound	S4_ws	3.9	ENTAILMENT	A_entails_B	B_neutral_A	The blonde girl is dancing on stage in front of the sound equipment.	The blonde girl is dancing on stage in front of the sound equipment.	FLICKR	FLICKR	TEST	3667908724_65c7d112f2.jpg#4
148	281	S1S1_inter	A boy is standing in the water	S1_null	The boy is wading through the blue ocean	S1_null	4.0	NEUTRAL	A_neutral_B	B_contradicts_A	The boy is wading through the blue ocean.	A boy up to his knees in water.	FLICKR	FLICKR	TEST	2701603045_6cbdc4ce7c.jpg#4
169	330	S1S1_inter	A man is pointing at a silver sedan	S1_null	A man is in a parking lot and is playing tennis against a large wall	S1_null	1.3	NEUTRAL	A_neutral_B	B_neutral_A	A man is playing tennis with himself against a large wall in a parking lot.	A man in the near distance is pointing to a silver sedan near him.	FLICKR	FLICKR	TEST	1432179046_8e3d75cf81.jpg#1
181	337	S1S2_inter	A man, a woman and two girls are walking on the beach	S1_null	A group of people is near the sea	S2_null	3.8	ENTAILMENT	A_entails_B	B_neutral_A	A man, woman, and two girls walk on the beach barefoot.	A group of people at a distance on a beach.	FLICKR	FLICKR	TEST	3088322308_b0c940b3a3.jpg#1
186	343	S1S2_intra	An Asian woman in a crowd is carrying a black bag	S1_null	An Asian woman in in the midst of many people is carrying a black bag	S2_lex	4.8	ENTAILMENT	A_entails_B	B_entails_A	Asian woman in crowd, carrying black bag with pain and spiked knuckle graphic.	Asian woman in crowd, carrying black bag with pain and spiked knuckle graphic.	FLICKR	FLICKR	TEST	498748832_941faaaf40.jpg#1
189	353	S1S4_intra	A dog is chasing another and is holding a stick in its mouth	S1_null	A dog is chasing a stick and holding another dog in its mouth	S4_ws	3.2	NEUTRAL	A_neutral_B	B_contradicts_A	A German Shepherd chases another with a stick in his mouth.	A German Shepherd chases another with a stick in his mouth.	FLICKR	FLICKR	TEST	78984436_ad96eaa802.jpg#0
215	406	S1S2_inter	A group of scouts are hiking through the grass	S1_null	People are walking	S2_null	3.6	ENTAILMENT	A_entails_B	B_neutral_A	A group of scouts are hiking through the grass.	People walking	FLICKR	FLICKR	TEST	244760301_5809214866.jpg#2
229	420	S1S4_inter	Two men with bikes are on the side of a snowy road	S1_null	Two men are breaking into a car during a trip on a snowy road	S4_null	2.2	NEUTRAL	A_neutral_B	B_neutral_A	The two men and their bikes are on the side of a snowy road.	Two men taking a break from riding their bikes on a snowy road.	FLICKR	FLICKR	TEST	95734035_84732a92c1.jpg#1
233	429	S1S4_inter	Two men are holding fishing poles	S1_null	Two men are holding some water standing near fishing poles	S4_null	2.6	NEUTRAL	A_neutral_B	B_neutral_A	Two men holding their fishing poles.	Two men stand near the water with their fishing poles.	FLICKR	FLICKR	TEST	488590040_35a3e96c89.jpg#2
247	453	S1S2_intra	Two children and an adult are standing next to a tree limb	S1_null	Three people are standing next to a tree limb	S2_lex	4.6	ENTAILMENT	A_entails_B	B_neutral_A	Two children and an adult standing next to a tree limb.	Two children and an adult standing next to a tree limb.	FLICKR	FLICKR	TEST	3220009216_10f088185e.jpg#2
251	455	S1S2_intra	Two children are hanging on a large branch	S1_null	Two children are climbing a tree	S2_lex	4.2	ENTAILMENT	A_entails_B	B_neutral_A	Two children hanging on a large branch.	Two children hanging on a large branch.	FLICKR	FLICKR	TEST	3220009216_10f088185e.jpg#4
257	466	S1S3_intra	A man is performing a trick on a green bicycle	S1_null	There is no man performing a trick on a green bicycle	S3_od	4.8	CONTRADICTION	A_contradicts_B	B_contradicts_A	A man performs a stoppie trick on his BMX green bicycle with no hands.	A man performs a stoppie trick on his BMX green bicycle with no hands.	FLICKR	FLICKR	TEST	3122938209_2b2c6c1fab.jpg#2
262	478	S1S3_inter	A child is holding a squirt gun	S1_null	There is no child holding a water gun or getting sprayed with water	S3_null	4.085	CONTRADICTION	A_contradicts_B	B_contradicts_A	A child with a squirt gun.	A laughing child is holding a water gun and getting sprayed with water.	FLICKR	FLICKR	TEST	2735792721_b8fe85e803.jpg#1
263	481	S1S1_inter	A laughing child is holding a water gun and getting sprayed with water	S1_null	A child is holding a squirt gun	S1_null	4.5	ENTAILMENT	A_entails_B	B_neutral_A	A child with a squirt gun.	A laughing child is holding a water gun and getting sprayed with water.	FLICKR	FLICKR	TEST	2735792721_b8fe85e803.jpg#1
266	483	S1S3_intra	Two brown dogs are fighting over a red ball and are playing in the grass	S1_null	There is no dog playing with a red ball	S3_od	2.5	NEUTRAL	A_contradicts_B	B_neutral_A	Two brown dogs fight over a red ball while playing in the grass.	Two brown dogs fight over a red ball while playing in the grass.	FLICKR	FLICKR	TEST	584484388_0eeb36d03d.jpg#1
287	517	S1S4_intra	A woman who is wearing a pink boa is riding a bicycle down a bridge built for pedestrians	S1_null	A pedestrian woman is building pink bicycles for boa wearing riders	S4_ws	2.8	NEUTRAL	A_neutral_B	B_neutral_A	A woman wearing a pink boa rides a bicycle down a pedestrian bridge.	A woman wearing a pink boa rides a bicycle down a pedestrian bridge.	FLICKR	FLICKR	TEST	2269021076_cefc9af989.jpg#1
304	569	S1S4_intra	A dog that has a brown and white coat is trotting through shallow water	S1_null	A brown and white coat is floating across shallow water near a trotting dog	S4_ws	2.9	NEUTRAL	A_neutral_B	B_neutral_A	A brown and white dog trots across shallow water with his mouth open.	A brown and white dog trots across shallow water with his mouth open.	FLICKR	FLICKR	TEST	3682277595_55f8b16975.jpg#0
308	571	S1S3_intra	A white and brown dog is walking through the water with difficulty	S1_null	There is no white and brown dog pacing with through the water difficulty	S3_od	2.6	CONTRADICTION	A_contradicts_B	B_contradicts_A	A white and brown dog is walking through the water.	A white and brown dog is walking through the water.	FLICKR	FLICKR	TEST	3682277595_55f8b16975.jpg#3
313	585	S1S2_inter	A group of boys are playing with a ball in front of a large door made of wood	S1_null	The children are playing in front of a door, which is very large	S2_null	3.8	ENTAILMENT	A_entails_B	B_neutral_A	A gorup of boys are playing with a ball in front of a large wooden door.	Children play in front of a large door.	FLICKR	FLICKR	TEST	3426966595_c8c4e1e872.jpg#0
325	612	S1S1_inter	A young lady with light brown hair is wearing a red necklace, a sweatshirt and earrings and is smiling	S1_null	A teenage girl is wearing beads that are red	S1_null	3.0	ENTAILMENT	A_entails_B	B_neutral_A	A close up of a teenage girl wearing red beads.	A young woman with light brown hair wearing a red beaded neclace, a Gonzaga sweatshirt and earrings stands smiling.	FLICKR	FLICKR	TEST	2200901777_f6c168bd32.jpg#0
331	614	S1S3_intra	A boy is climbing up a wall artificially built for climbing and is attached to a rope	S1_null	A boy is coming down a wall artificially built for climbing and isn't attached to the rope	S3_so,inv	3.935	CONTRADICTION	A_contradicts_B	B_contradicts_A	A boy is climbing up an artificial climbing wall whilst attached to a rope.	A boy is climbing up an artificial climbing wall whilst attached to a rope.	FLICKR	FLICKR	TEST	1357689954_72588dfdc4.jpg#1
338	616	S1S2_intra	A fearful little boy is on a climbing wall	S1_null	A little boy, who looks fearful, is on a climbing wall.	S2_expa	5.0	ENTAILMENT	A_entails_B	B_entails_A	A frightened little boy on a climbing wall.	A frightened little boy on a climbing wall.	FLICKR	FLICKR	TEST	1357689954_72588dfdc4.jpg#2
357	656	S1S3_intra	A young child is climbing a rock climbing wall which is indoors	S1_null	A young child is under a rock climbing wall which is indoors	S3_so	4.0	NEUTRAL	A_neutral_B	B_contradicts_A	A young child climbs an indoor rock climbing wall.	A young child climbs an indoor rock climbing wall.	FLICKR	FLICKR	TEST	2565657591_6c1cdfc092.jpg#3
363	675	S1S1_inter	One man is doing a bicycle trick in midair	S1_null	The cyclist is performing a trick in the air	S1_null	4.4	ENTAILMENT	A_entails_B	B_neutral_A	A trick cyclist takes air.	A male doing a bicycle trick in midair.	FLICKR	FLICKR	TEST	2524084967_a5e011b73d.jpg#3
382	705	S1S2_intra	A man and a woman are sitting comfortably on the bench	S1_null	Two people are sitting comfortably on the bench	S2_det,lex	4.6	ENTAILMENT	A_entails_B	B_neutral_A	A man and a woman sitting on a bench.	A man and a woman sitting on a bench.	FLICKR	FLICKR	TEST	3372167201_f7f909d480.jpg#1
383	705	S1S2_intra	A man and a woman are sitting comfortably on the bench	S1_null	Two people are sitting comfortably on the bench	S2_det,lex	4.6	ENTAILMENT	A_entails_B	B_neutral_A	A man and a woman sitting on a bench.	A man and a woman sitting on a bench.	FLICKR	FLICKR	TEST	561940436_64d6fc125d.jpg#0
384	706	S1S3_intra	A man and a woman are sitting comfortably on the bench	S1_null	Nobody is sitting comfortably on the bench	S3_od	3.585	CONTRADICTION	A_contradicts_B	B_contradicts_A	A man and a woman sitting on a bench.	A man and a woman sitting on a bench.	FLICKR	FLICKR	TEST	3372167201_f7f909d480.jpg#1
385	706	S1S3_intra	A man and a woman are sitting comfortably on the bench	S1_null	Nobody is sitting comfortably on the bench	S3_od	3.585	CONTRADICTION	A_contradicts_B	B_contradicts_A	A man and a woman sitting on a bench.	A man and a woman sitting on a bench.	FLICKR	FLICKR	TEST	561940436_64d6fc125d.jpg#0
406	740	S1S2_intra	A married couple is walking down the aisle	S1_null	A couple who have just got married are walking down the isle	S2_lex	4.8	ENTAILMENT	A_entails_B	B_entails_A	A bride and groom leaving after the wedding.	A bride and groom leaving after the wedding.	FLICKR	FLICKR	TEST	3098824948_23c31df031.jpg#0
407	742	S1S4_intra	A married couple is walking down the aisle	S1_null	The priest is walking down the aisle to marry a couple	S4_ws	2.9	NEUTRAL	A_neutral_B	B_neutral_A	A bride and groom leaving after the wedding.	A bride and groom leaving after the wedding.	FLICKR	FLICKR	TEST	3098824948_23c31df031.jpg#0
410	751	S1S3_intra	A classroom is full of students	S1_null	A classroom is empty	S3_so	2.3	CONTRADICTION	A_contradicts_B	B_contradicts_A	A class full of students.	A class full of students.	FLICKR	FLICKR	TEST	3044746136_8b89da5f40.jpg#0
411	758	S1S1_inter	The presentation is being watched by a classroom of students	S1_null	A classroom is full of students	S1_null	3.9	ENTAILMENT	A_entails_B	B_neutral_A	A class full of students.	A classroom of students watching a presentation.	FLICKR	FLICKR	TEST	3044746136_8b89da5f40.jpg#0
423	775	S1S3_intra	A woman, who is old, is near a white dog	S1_null	A woman, who is old, is far from a white dog	S3_so	3.6	NEUTRAL	A_contradicts_B	B_neutral_A	An old woman with a white dog	An old woman with a white dog	FLICKR	FLICKR	TEST	2448210587_9fe7ea5f42.jpg#1
432	801	S1S4_inter	Two people are walking two dogs with golden coats in the snow	S1_null	Two people are in the snow not wearing clothes, which provides camouflage. 	S4_null	2.1	NEUTRAL	A_neutral_B	B_neutral_A	Two people are walking two golden dogs in the snow.	Two people wearing camouflage clothing in the snow with two dogs.	FLICKR	FLICKR	TEST	3120189281_1938460e85.jpg#3
440	808	S1S2_intra	A girl is wearing a t-shirt and has her mouth open.	S1_null	A girl has a t-shirt and is keeping her mouth open	S2_expc	4.6	ENTAILMENT	A_entails_B	B_entails_A	an asian girl looking surprised in front of a brick window	an asian girl looking surprised in front of a brick window	FLICKR	FLICKR	TEST	3286543624_7a327f79ae.jpg#1
441	9813	unrel	A girl is wearing a t-shirt and has her mouth open.	S1_null	A brown and white dog is holding a baseball in its mouth	S1_null	1.6	NEUTRAL	A_neutral_B	B_neutral_A	an asian girl looking surprised in front of a brick window	brown and white dog with a baseball in its mouth	FLICKR	FLICKR	TEST	3286543624_7a327f79ae.jpg#1
443	817	S1S3_intra	A group of people is equipped with protective gear	S1_null	A group of people is equipped with unprotective gear	S3_so	3.5	NEUTRAL	A_neutral_B	B_contradicts_A	A group of people in protective gear.	A group of people in protective gear.	FLICKR	FLICKR	TEST	207930963_af3a2f1784.jpg#0
462	853	S1S2_intra	A black and a white dog are joyfully running on the grass	S1_null	A dog, which has a black coat, and a white dog are running on the grass	S2_expa	4.4	ENTAILMENT	A_entails_B	B_neutral_A	A black and a white dog are running on the grass.	A black and a white dog are running on the grass.	FLICKR	FLICKR	TEST	1351315701_6580b51c41.jpg#0
481	897	S1S3_inter	People are on a beach full of sand by the ocean and are enjoying a sunny day	S1_null	There is no one on the shore	S3_null	3.7	CONTRADICTION	A_contradicts_B	B_contradicts_A	People are enjoying a sunny day on a sandy beach by the ocean.	A bunch of people at the beach.	FLICKR	FLICKR	TEST	442594271_2c3dd38483.jpg#1
492	924	S1S3_intra	The girl in the red shirt is blowing a bubble 	S1_null	The girl in a dyed red shirt isn't blowing a bubble	S3_inv	2.4	CONTRADICTION	A_contradicts_B	B_contradicts_A	girl in red shirt blowing a bubble	girl in red shirt blowing a bubble	FLICKR	FLICKR	TEST	798343627_7492fe0c12.jpg#2
506	951	S1S3_intra	Two young kids are eating corndogs	S1_null	Two young kids are fasting	S3_so	2.8	CONTRADICTION	A_contradicts_B	B_contradicts_A	two young children eat corndogs.	two young children eat corndogs.	FLICKR	FLICKR	TEST	1977827746_4e13d7e19f.jpg#4
511	966	S1S2_inter	A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face	S1_null	A man in a pose is being amusedly watched by another man	S2_null	3.5	ENTAILMENT	A_entails_B	B_neutral_A	a man in a purple shirt is looking at a man in a black shirt who is pulling a funny face.	a man watching another man DOA kissing pose	FLICKR	FLICKR	TEST	3444982197_0ff15cc50b.jpg#0
513	972	S1S1_inter	A man in a shirt dyed purple is looking at a man in a black shirt who is doing a funny face	S1_null	A man doing a pose is being watched by another man	S1_null	3.765	ENTAILMENT	A_entails_B	B_neutral_A	a man in a purple shirt is looking at a man in a black shirt who is pulling a funny face.	a man watching another man DOA kissing pose	FLICKR	FLICKR	TEST	3444982197_0ff15cc50b.jpg#0
521	977	S1S3_intra	A man is falling off a horse on a track and is laid in the wild	S1_null	A man is getting on a horse on a track laid in the wild	S3_so	3.8	ENTAILMENT	A_entails_B	B_contradicts_A	A man falls off his horse on a racetrack.	A man falls off his horse on a racetrack.	FLICKR	FLICKR	TEST	2578289278_01516d23a0.jpg#1
525	990	S1S3_intra	The man and the boy are standing at the bottom of the stairs, which are outdoors	S1_null	The man and the boy are standing at the top of the stairs, which are outdoors	S3_so	4.1	CONTRADICTION	A_contradicts_B	B_contradicts_A	The man and the boy are standing at the bottom of the outdoor stairs.	The man and the boy are standing at the bottom of the outdoor stairs.	FLICKR	FLICKR	TEST	2061144717_5b3a1864f0.jpg#4
541	1023	S1S4_intra	A woman is wearing sunglasses of large size and is holding newspapers in both hands	S1_null	A newspaper is featuring a woman with large sized hands holding sunglasses and wearing a coat	S4_ws	2.6	NEUTRAL	A_neutral_B	B_neutral_A	A woman wearing large sunglasses holds newspapers in both hands.	A woman wearing large sunglasses holds newspapers in both hands.	FLICKR	FLICKR	TEST	3386893620_5f0bb4e794.jpg#3
546	1030	S1S4_inter	An old woman is wearing a rose patterned shirt and is clumsily carrying two newspapers	S1_null	A newspaper is featuring a woman with large sized hands holding sunglasses and wearing a coat	S4_null	2.0	NEUTRAL	A_neutral_B	B_neutral_A	An older woman in a rose patterned shirt is carrying two newspapers.	A woman wearing large sunglasses holds newspapers in both hands.	FLICKR	FLICKR	TEST	3386893620_5f0bb4e794.jpg#1
548	1041	S1S2_inter	The snowboarder is leaping over white snow	S1_null	One person who is practicing snowboarding jumps into the air	S2_null	4.0	ENTAILMENT	A_entails_B	B_neutral_A	A snowboarder launches into the air over white snow	a snowboarder jumps into the air.	FLICKR	FLICKR	TEST	2975118353_5af5a5df54.jpg#3
558	9792	unrel	A dog, which is small, is playing on the green grass	S1_null	A woman wearing a blue shirt and high heels is standing on the sidewalk next to the man	S2_null	1.0	NEUTRAL	A_neutral_B	B_neutral_A	A small dog plays on the green grass.	a woman wearing a blue shirt and high heels stands on the sidewalk next to a man	FLICKR	FLICKR	TEST	662606040_8cc8cd9f1b.jpg#3
600	5973	S1S3_intra	A man in a hat is walking through a store	S1_null	A man in a hat is walking past a store	S3_so	4.1	NEUTRAL	A_neutral_B	B_contradicts_A	a man in a hat is making his way through a store	a man in a hat is making his way through a store	FLICKR	FLICKR	TEST	2261550615_b6c25d987b.jpg#2
612	5997	S1S3_intra	A dog with golden fur is in the water	S1_null	A dog with golden fur is out of the water	S3_so	3.7	CONTRADICTION	A_contradicts_B	B_contradicts_A	a dog with golden fur is chest deep in water	a dog with golden fur is chest deep in water	FLICKR	FLICKR	TEST	343073813_df822aceac.jpg#3
622	6011	S1S3_inter	The girl is carrying a sign and a group of people is following her	S1_null	There is no young girl in a blue shirt walking on the sidewalk and holding up a pink sign	S3_null	2.7	CONTRADICTION	A_contradicts_B	B_contradicts_A	a girl carries a sign that reads the rescue while a group of people follow her	a young girl in a blue shirt is walking in the sidewalk and holding up a pink sign that says, the rescue.	FLICKR	FLICKR	TEST	3474912569_7165dc1d06.jpg#0
636	9867	unrel	A dog is chasing the tail of an animal in the grass	S1_null	The blonde girl with the pink top is not smiling and not wearing funny glasses with a large nose attached	S3_null	1.0	NEUTRAL	A_neutral_B	B_neutral_A	a dog chasing an animals tail on the grass	blonde girl with pink top smiling while wearing funny glasses with large nose	FLICKR	FLICKR	TEST	2170222061_e8bce4a32d.jpg#1
638	6040	S1S3_inter	The small child is wading through the water and is being guided by another person	S1_null	There is no young child splashing in the water	S3_null	3.1	CONTRADICTION	A_contradicts_B	B_contradicts_A	a small child wades through the water while being guided by another person	a young child splashing in water	FLICKR	FLICKR	TEST	1118557877_736f339752.jpg#1
657	6066	S1S3_intra	A person in a blue jacket is jumping off of a tall cement wall	S1_null	A person in a blue jacket is jumping onto a tall cement wall	S3_so	4.1	NEUTRAL	A_neutral_B	B_contradicts_A	a person in a blue jacket jumps off of a tan cement wall	a person in a blue jacket jumps off of a tan cement wall	FLICKR	FLICKR	TEST	3244734844_c318c29c23.jpg#3
658	6071	S1S2_inter	A person in a blue jacket is jumping off of a tall cement wall	S1_null	A large jump is being performed by a man	S2_null	4.0	NEUTRAL	A_neutral_B	B_neutral_A	a person in a blue jacket jumps off of a tan cement wall	a man performs a large jump	FLICKR	FLICKR	TEST	3244734844_c318c29c23.jpg#3
662	6079	S1S3_inter	A woman in jeans is sitting on the saddle of a horse	S1_null	There is no person wearing jeans sitting on top of a horse saddle	S3_null	3.9	CONTRADICTION	A_contradicts_B	B_contradicts_A	a woman in jeans is sitting on the saddle of a horse	a person wearing jeans sits on top of a horse saddle	FLICKR	FLICKR	TEST	282960970_574aa1ba49.jpg#1
672	6100	S1S1_inter	A man is standing beside a large and colorful birdcage	S1_null	The man is standing next to a bird cage	S1_null	4.2	ENTAILMENT	A_entails_B	B_neutral_A	the man is standing next to a bird cage	a man is standing beside a large, colorful birdcage containing birds	FLICKR	FLICKR	TEST	2572101672_4d699c8713.jpg#4
683	6118	S1S2_inter	A brown and white dog is holding a baseball in its mouth	S1_null	A baseball is being held in its mouth by a black and white dog	S2_null	3.9	ENTAILMENT	A_entails_B	B_neutral_A	brown and white dog with a baseball in its mouth	black and white dog holding a baseball in mouth	FLICKR	FLICKR	TEST	390671130_09fdccd52f.jpg#4
693	6126	S1S3_intra	A young boy wearing a red swimsuit is jumping into a blue kiddies pool	S1_null	A young boy wearing a red swimsuit is jumping out of a blue kiddies pool	S3_so	3.8	CONTRADICTION	A_contradicts_B	B_contradicts_A	a young boy wearing a red swimsuit jumps into a blue kiddie pool	a young boy wearing a red swimsuit jumps into a blue kiddie pool	FLICKR	FLICKR	TEST	2501595799_6316001e89.jpg#4
714	6168	S1S3_inter	The boy and the girl are playing and wearing arm floats	S1_null	A boy and a girl are naked	S3_null	1.9	NEUTRAL	A_neutral_B	B_neutral_A	the boy and girl are playing with arm floats on	a little boy and girl in their swimsuits wearing arm floats	FLICKR	FLICKR	TEST	2951092164_4940b9a517.jpg#3
716	6172	S1S4_intra	A woman in a yellow shirt is surfing on a pink surfboard	S1_null	A woman in a pink shirt is surfing through yellow surfboards	S4_ws	3.5	NEUTRAL	A_neutral_B	B_neutral_A	a woman in a yellow shirt surfs on a pink surfboard	a woman in a yellow shirt surfs on a pink surfboard	FLICKR	FLICKR	TEST	3707990914_843e8f15f1.jpg#2
746	6216	S1S2_inter	A man is sitting on a boat in font of the sunset, near a flag	S1_null	A man is on a ship in front of the sunset	S2_null	3.8	ENTAILMENT	A_entails_B	B_neutral_A	a man sits on a boat in the sunset near a flag	a man in a boat in front of a sunset	FLICKR	FLICKR	TEST	160805827_5e6646b753.jpg#2
766	7832	S1S3_intra	The brown dog is jumping in the air	S1_null	A brown dog is jumping in the water	S3_so	3.6	NEUTRAL	A_neutral_B	B_neutral_A	a brown dog jumps in the air	a brown dog jumps in the air	FLICKR	FLICKR	TEST	2303426046_09cfd7bc4e.jpg#0
767	7832	S1S3_intra	The brown dog is jumping in the air	S1_null	A brown dog is jumping in the water	S3_so	3.6	NEUTRAL	A_neutral_B	B_neutral_A	a brown dog jumps in the air	a brown dog jumps in the air	FLICKR	FLICKR	TEST	3439414478_8038ba9409.jpg#2
777	6251	S1S3_intra	A policeman is sitting on a motorcycle	S1_null	A policeman is getting off of a motorcycle	S3_so	2.7	CONTRADICTION	A_contradicts_B	B_contradicts_A	a policeman sits on a motorcycle	a policeman sits on a motorcycle	FLICKR	FLICKR	TEST	3240014971_ee2ea8406f.jpg#2
779	6257	S1S3_inter	A policeman is sitting on a motorcycle	S1_null	The cop is not sitting on a police bike	S3_null	3.4	CONTRADICTION	A_contradicts_B	B_contradicts_A	a policeman sits on a motorcycle	a cop sitting on his police bike	FLICKR	FLICKR	TEST	3240014971_ee2ea8406f.jpg#2
785	6265	S1S2_inter	Two women are wearing bikinis and are walking on the sand	S1_null	Two women are wearing bikinis on the beach which is sandy	S2_null	4.4	ENTAILMENT	A_entails_B	B_neutral_A	two women wearing bikinis are walking on the sand	two women wearing bikinis on a sandy beach	FLICKR	FLICKR	TEST	2883950737_3b67d24af4.jpg#3
792	6279	S1S4_intra	A black dog is running in the grass and its tongue is hanging out	S1_null	A black dog is hanging out in the grass and running with its tongue out	S4_ws	4.6	ENTAILMENT	A_entails_B	B_entails_A	a black dog runs in the grass, its tongue hanging out	a black dog runs in the grass, its tongue hanging out	FLICKR	FLICKR	TEST	3419634480_c390f62a6e.jpg#2
821	6332	S1S3_inter	The little girl in a pink shirt is running under a tree in the desert	S1_null	There is no girl wearing jeans and a pink shirt and running	S3_null	2.5	CONTRADICTION	A_contradicts_B	B_contradicts_A	the little girl in the pink shirt is running under a tree in the desert	a girls wearing jeans and a pink shirt runs	FLICKR	FLICKR	TEST	2364774105_fbaf0c191f.jpg#2
824	6343	S1S3_inter	A white dog is wearing a Christmas reindeer headband and is playing with a brown dog in the grass	S1_null	The white dog is not wearing reindeer ears and isn't near a brown dog	S3_null	3.4	CONTRADICTION	A_contradicts_B	B_contradicts_A	a white dog wearing reindeer ears is next to a brown dog	a white dog wearing a christmas reindeer headband plays with a brown dog in the grass among some stuffed animals	FLICKR	FLICKR	TEST	2071309418_1d7580b0f0.jpg#1
829	9865	unrel	Two children are playing soccer in the park	S1_null	There is no white dog wearing a Christmas reindeer headband and playing with a brown dog in the grass	S3_null	1.1	NEUTRAL	A_neutral_B	B_neutral_A	a white dog wearing a christmas reindeer headband plays with a brown dog in the grass among some stuffed animals	two children play soccer in the park	FLICKR	FLICKR	TEST	2071309418_1d7580b0f0.jpg#0
