index	pair_ID	pair_type	sentence_A	sentence_A_expRule	sentence_B	sentence_B_expRule	relatedness_score	entailment_label	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set	jpg
44	81	S1S3_inter	A little girl is looking at a woman in costume	S1_null	People wearing costumes are scattering in a forest and are looking in different directions	S3_null	2.4	NEUTRAL	A_neutral_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TRAIN	3718007650_e5930b4509.jpg#4
45	82	S1S4_inter	A little girl is looking at a woman in costume	S1_null	People are looking at some costumes gathered in the vicinity of the forest	S4_null	2.6	NEUTRAL	A_neutral_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TRAIN	3718007650_e5930b4509.jpg#4
47	77	S1S2_intra	People wearing costumes are gathering in a forest and are looking in the same direction	S1_null	Masked people are looking in the same direction in a forest	S2_lex	4.4	ENTAILMENT	A_entails_B	B_neutral_A	People with costumes are gathered in a wooded area looking the same direction.	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TRAIN	3718007650_e5930b4509.jpg#3
48	78	S1S3_intra	People wearing costumes are gathering in a forest and are looking in the same direction	S1_null	People wearing costumes are scattering in a forest and are looking in different directions	S3_inv	3.2	NEUTRAL	A_neutral_B	B_contradicts_A	People with costumes are gathered in a wooded area looking the same direction.	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TRAIN	3718007650_e5930b4509.jpg#3
49	84	S1S3_inter	People wearing costumes are gathering in a forest and are looking in the same direction	S1_null	The little girl is looking at a man in costume	S3_null	3.0	NEUTRAL	A_neutral_B	B_neutral_A	People with costumes are gathered in a wooded area looking the same direction.	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TRAIN	3718007650_e5930b4509.jpg#3
50	85	S1S4_inter	People wearing costumes are gathering in a forest and are looking in the same direction	S1_null	A little girl in costume looks like a woman	S4_null	2.0	NEUTRAL	A_neutral_B	B_neutral_A	People with costumes are gathered in a wooded area looking the same direction.	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TRAIN	3718007650_e5930b4509.jpg#3
51	90	S1S3_intra	A man is jumping into an empty pool	S1_null	A man is jumping into a full pool	S3_so	3.0	CONTRADICTION	A_contradicts_B	B_contradicts_A	A man does bike jumps in the dark in an empty pool.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TRAIN	2905948395_ca3e6b3c9a.jpg#1
52	91	S1S4_intra	A man is jumping into an empty pool	S1_null	The man's jumper is in the empty pool	S4_ws	3.1	NEUTRAL	A_neutral_B	B_neutral_A	A man does bike jumps in the dark in an empty pool.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TRAIN	2905948395_ca3e6b3c9a.jpg#1
53	93	S1S3_inter	A lone biker is jumping in the air	S1_null	A man is jumping into a full pool	S3_null	1.7	NEUTRAL	A_neutral_B	B_neutral_A	A man does bike jumps in the dark in an empty pool.	a lone bicyclists jumping in the air over a ramp.	FLICKR	FLICKR	TRAIN	2905948395_ca3e6b3c9a.jpg#1
61	117	S1S1_inter	A player is running with the ball	S1_null	Two teams are competing in a football match	S1_null	2.6	NEUTRAL	A_neutral_B	B_neutral_A	A running back running with the football.	Two teams compete in football.	FLICKR	FLICKR	TRAIN	2939371251_f923569a72.jpg#1
67	122	S1S3_intra	Five kids are standing close together and one kid has a gun	S1_null	Five kids are standing close together and none of the kids has a gun	S3_od	3.7	CONTRADICTION	A_contradicts_B	B_contradicts_A	There are five kids standing next to each other, and the one in the red has a gun.	There are five kids standing next to each other, and the one in the red has a gun.	FLICKR	FLICKR	TRAIN	792362827_5ab5281b99.jpg#4
68	130	S1S3_intra	A man is sitting in a field	S1_null	A man is running in a field	S3_so	2.6	NEUTRAL	A_neutral_B	B_neutral_A	A man sitting cross-legged in a field	A man sitting cross-legged in a field	FLICKR	FLICKR	TRAIN	470903027_489cc507de.jpg#0
70	139	S1S1_inter	A man is sitting in a field	S1_null	A person is wearing a hat and is sitting on the grass	S1_null	3.8	NEUTRAL	A_neutral_B	B_neutral_A	A man sitting cross-legged in a field	A person wearing a hat sits on the grass with a mountain behind him.	FLICKR	FLICKR	TRAIN	470903027_489cc507de.jpg#0
71	131	S1S2_intra	A person is wearing a hat and is sitting on the grass	S1_null	A person is sitting in a field and is wearing a hat	S2_lex	4.1	NEUTRAL	A_neutral_B	B_neutral_A	A person wearing a hat sits on the grass with a mountain behind him.	A person wearing a hat sits on the grass with a mountain behind him.	FLICKR	FLICKR	TRAIN	470903027_489cc507de.jpg#2
74	141	S1S3_intra	A group of friends are riding the current in a raft	S1_null	A group is not riding the current in a raft	S3_inv	3.7	CONTRADICTION	A_contradicts_B	B_contradicts_A	A group of friends ride the current in a raft.	A group of friends ride the current in a raft.	FLICKR	FLICKR	TRAIN	2056377805_e9a9b3bcf0.jpg#0
76	148	S1S1_inter	A group of friends are riding the current in a raft	S1_null	This group of people is practicing water safety and wearing preservers	S1_null	3.1	NEUTRAL	A_neutral_B	B_neutral_A	A group of friends ride the current in a raft.	this group of people are practicing water safety by wearing preservers while in a raft on the river	FLICKR	FLICKR	TRAIN	2056377805_e9a9b3bcf0.jpg#0
79	150	S1S3_intra	A deer is jumping over a fence	S1_null	A deer isn't jumping over the fence	S3_inv	3.9	CONTRADICTION	A_contradicts_B	B_contradicts_A	A deer is jumping over a fence.	A deer is jumping over a fence.	FLICKR	FLICKR	TRAIN	3274879561_74997bbfff.jpg#1
84	163	S1S3_inter	People are walking outside a building that has many murals on it	S1_null	Nobody is in front of the colorful building	S3_null	3.6	NEUTRAL	A_contradicts_B	B_neutral_A	People walk outside of a building that has many murals painted on it.	Several people are in a front of a colorful painted building.	FLICKR	FLICKR	TRAIN	2501942587_e59b91d1da.jpg#3
86	161	S1S3_intra	Several people are in front of a colorful building	S1_null	Nobody is in front of the colorful building	S3_od	3.5	CONTRADICTION	A_contradicts_B	B_contradicts_A	Several people are in a front of a colorful painted building.	Several people are in a front of a colorful painted building.	FLICKR	FLICKR	TRAIN	2501942587_e59b91d1da.jpg#4
89	173	S1S3_inter	A child is hitting a baseball	S1_null	A family is watching a little boy who is missing a baseball	S3_null	3.015	NEUTRAL	A_neutral_B	B_neutral_A	A child hits a baseball.	A little boy hits a baseball while his family watches	FLICKR	FLICKR	TRAIN	535249787_0fcaa613a0.jpg#1
92	170	S1S3_intra	A family is watching a little boy who is hitting a baseball	S1_null	A family is watching a little boy who is missing a baseball	S3_od	3.9	NEUTRAL	A_contradicts_B	B_neutral_A	A little boy hits a baseball while his family watches	A little boy hits a baseball while his family watches	FLICKR	FLICKR	TRAIN	535249787_0fcaa613a0.jpg#3
97	184	S1S2_inter	A large group of Asian people is eating at a restaurant	S1_null	Various customers are eating in a crowded restaurant with purple lights	S2_null	2.9	NEUTRAL	A_neutral_B	B_neutral_A	A large group of asian people are eating at a restaurant.	Various people are eating at red tables in a crowded restaurant with purple lights.	FLICKR	FLICKR	TRAIN	3172384527_b107385a20.jpg#0
100	188	S1S3_inter	Various people are eating at red tables in a crowded restaurant with purple lights	S1_null	A small group of people is waiting to eat in a restaurant	S3_null	3.2	NEUTRAL	A_neutral_B	B_neutral_A	Various people are eating at red tables in a crowded restaurant with purple lights.	A large group of asian people are eating at a restaurant.	FLICKR	FLICKR	TRAIN	3172384527_b107385a20.jpg#4
102	192	S1S3_intra	A motorcycle rider is standing up on the seat of a white motorcycle	S1_null	No motorcycle rider is standing up on the seat of a motorcycle	S3_od	3.8	CONTRADICTION	A_contradicts_B	B_contradicts_A	A motorcycle rider starts to sand up on the seat of his white motorcycle.	A motorcycle rider starts to sand up on the seat of his white motorcycle.	FLICKR	FLICKR	TRAIN	2719102611_fef453bf30.jpg#2
112	215	S1S2_inter	Two dogs are playing by a tree	S1_null	A dog is catching a stick in the air and another is watching	S2_null	3.7	NEUTRAL	A_neutral_B	B_neutral_A	Two dogs play by a tree.	A dog leaps high in the air while another watches.	FLICKR	FLICKR	TRAIN	2368266191_87d77750f1.jpg#4
113	216	S1S3_inter	Two dogs are playing by a tree	S1_null	There is no dog leaping in the air	S3_null	2.7	NEUTRAL	A_neutral_B	B_neutral_A	Two dogs play by a tree.	A dog leaps high in the air while another watches.	FLICKR	FLICKR	TRAIN	2368266191_87d77750f1.jpg#4
116	217	S1S1_inter	Two dogs are playing by a tree	S1_null	A dog is leaping high in the air and another is watching	S1_null	3.0	NEUTRAL	A_neutral_B	B_neutral_A	A dog leaps high in the air while another watches.	Two dogs play by a tree.	FLICKR	FLICKR	TRAIN	2368266191_87d77750f1.jpg#2
118	223	S1S2_inter	A girl in white is dancing	S1_null	The dancer is dancing in front of the sound equipment	S2_null	4.0	NEUTRAL	A_neutral_B	B_neutral_A	A girl in white dances.	The blonde girl is dancing on stage in front of the sound equipment.	FLICKR	FLICKR	TRAIN	3667908724_65c7d112f2.jpg#2
119	224	S1S3_inter	A girl in white is dancing	S1_null	The blond girl is dancing behind the sound equipment	S3_null	3.3	NEUTRAL	A_neutral_B	B_neutral_A	A girl in white dances.	The blonde girl is dancing on stage in front of the sound equipment.	FLICKR	FLICKR	TRAIN	3667908724_65c7d112f2.jpg#2
122	227	S1S3_inter	The blond girl is dancing in front of the sound equipment	S1_null	There is no girl in white dancing	S3_null	3.3	NEUTRAL	A_neutral_B	B_neutral_A	The blonde girl is dancing on stage in front of the sound equipment.	A girl in white dances.	FLICKR	FLICKR	TRAIN	3667908724_65c7d112f2.jpg#4
124	234	S1S2_inter	The children of a family are playing and waiting	S1_null	Three Asian kids are dancing and a serious man is looking	S2_null	1.9	NEUTRAL	A_neutral_B	B_neutral_A	The children of a family play while they wait.	Three Asian kids dance while a man looks on.	FLICKR	FLICKR	TRAIN	2257294002_0073263c54.jpg#0
129	232	S1S3_intra	Three Asian kids are dancing and a man is looking	S1_null	Three Asian kids are dancing and there is no man looking	S3_inv	3.9	CONTRADICTION	A_contradicts_B	B_contradicts_A	Three Asian kids dance while a man looks on.	Three Asian kids dance while a man looks on.	FLICKR	FLICKR	TRAIN	2257294002_0073263c54.jpg#1
130	233	S1S4_intra	Three Asian kids are dancing and a man is looking	S1_null	An Asian man is dancing and three kids are looking	S4_ws	3.7	NEUTRAL	A_neutral_B	B_neutral_A	Three Asian kids dance while a man looks on.	Three Asian kids dance while a man looks on.	FLICKR	FLICKR	TRAIN	2257294002_0073263c54.jpg#1
131	241	S1S3_intra	A woman is wearing an Egyptian headdress	S1_null	A woman is wearing an Indian headdress	S3_so	4.0	NEUTRAL	A_neutral_B	B_neutral_A	A woman wears an Egytian-like headdress.	A woman wears an Egytian-like headdress.	FLICKR	FLICKR	TRAIN	2119302248_72493d458c.jpg#2
137	254	S1S3_intra	A hiker is on top of the mountain and is dancing	S1_null	There is no hiker dancing on top of the mountain	S3_od	3.2	CONTRADICTION	A_contradicts_B	B_contradicts_A	This hiker does a dance of joy on top of the mountain.	This hiker does a dance of joy on top of the mountain.	FLICKR	FLICKR	TRAIN	3564385317_1bf5094068.jpg#4
138	257	S1S2_inter	A hiker is on top of the mountain and is dancing	S1_null	A man is on a rock high above some trees and is standing in an uncomfortable position	S2_null	2.5	NEUTRAL	A_neutral_B	B_neutral_A	This hiker does a dance of joy on top of the mountain.	A man stands in a strange position on a rock high above some trees.	FLICKR	FLICKR	TRAIN	3564385317_1bf5094068.jpg#4
139	258	S1S3_inter	A hiker is on top of the mountain and is dancing	S1_null	There is no man on a rock high above some trees standing in a strange position	S3_null	2.5	NEUTRAL	A_contradicts_B	B_neutral_A	This hiker does a dance of joy on top of the mountain.	A man stands in a strange position on a rock high above some trees.	FLICKR	FLICKR	TRAIN	3564385317_1bf5094068.jpg#4
141	259	S1S2_inter	A man is on a rock high above some trees and is standing in a strange position	S1_null	A hiker is on top of the mountain and is doing a joyful dance	S2_null	2.9	NEUTRAL	A_neutral_B	B_neutral_A	A man stands in a strange position on a rock high above some trees.	This hiker does a dance of joy on top of the mountain.	FLICKR	FLICKR	TRAIN	3564385317_1bf5094068.jpg#1
142	266	S1S3_intra	The brown horse is near a red barrel at the rodeo	S1_null	The brown horse is far from a red barrel at the rodeo	S3_so	3.6	CONTRADICTION	A_contradicts_B	B_contradicts_A	The brown horse is next to a red barrel at the rodeo.	The brown horse is next to a red barrel at the rodeo.	FLICKR	FLICKR	TRAIN	3319489465_c65c91e4f2.jpg#4
144	272	S1S1_inter	A cowgirl is riding a horse and corners a barrel	S1_null	The brown horse is near a red barrel at the rodeo	S1_null	3.8	NEUTRAL	A_neutral_B	B_neutral_A	A cowgirl corners a barrel riding a horse.	The brown horse is next to a red barrel at the rodeo.	FLICKR	FLICKR	TRAIN	3319489465_c65c91e4f2.jpg#0
145	277	S1S2_inter	A boy is standing in the water	S1_null	The kid is swimming through the blue ocean	S2_null	3.0	NEUTRAL	A_neutral_B	B_neutral_A	A boy up to his knees in water.	The boy is wading through the blue ocean.	FLICKR	FLICKR	TRAIN	2701603045_6cbdc4ce7c.jpg#1
147	279	S1S2_inter	The boy is wading through the blue ocean	S1_null	A boy is standing in the cold water	S2_null	3.3	NEUTRAL	A_neutral_B	B_neutral_A	The boy is wading through the blue ocean.	A boy up to his knees in water.	FLICKR	FLICKR	TRAIN	2701603045_6cbdc4ce7c.jpg#4
149	283	S1S3_intra	A man is playing a guitar on stage	S1_null	There is no man playing a guitar on stage	S3_od	3.6	CONTRADICTION	A_contradicts_B	B_contradicts_A	A man rocks out on stage with his guitar.	A man rocks out on stage with his guitar.	FLICKR	FLICKR	TRAIN	2662537919_18a29fca8a.jpg#1
150	287	S1S3_inter	A man is playing a guitar on stage	S1_null	A bald person is playing a guitar	S3_null	3.8	NEUTRAL	A_neutral_B	B_neutral_A	A man rocks out on stage with his guitar.	Person with blonde flyaway hair playing guitar	FLICKR	FLICKR	TRAIN	2662537919_18a29fca8a.jpg#1
153	286	S1S2_inter	A man is playing a guitar on stage	S1_null	A guitarist has blonde and flyaway hair	S2_null	3.0	NEUTRAL	A_neutral_B	B_neutral_A	Person with blonde flyaway hair playing guitar	A man rocks out on stage with his guitar.	FLICKR	FLICKR	TRAIN	2662537919_18a29fca8a.jpg#4
154	291	S1S2_intra	Several children are sitting down and have their knees raised	S1_null	Several children are lying down and are raising their knees	S2_lex	4.0	NEUTRAL	A_neutral_B	B_neutral_A	Several children sitting down with their knees raised up and light shining on their faces.	Several children sitting down with their knees raised up and light shining on their faces.	FLICKR	FLICKR	TRAIN	2612608861_92beaa3d0b.jpg#2
157	301	S1S3_intra	A nude lady is walking in front of a crowd in body paint	S1_null	There is no lady walking in body paint in front of a crowd 	S3_od	2.9	CONTRADICTION	A_contradicts_B	B_contradicts_A	A nude lady walks in front of a crowd in body paint.	A nude lady walks in front of a crowd in body paint.	FLICKR	FLICKR	TRAIN	2611651553_61f859837e.jpg#1
158	302	S1S4_intra	A nude lady is walking in front of a crowd in body paint	S1_null	A nude crowd in body paint is walking in front of a lady 	S4_ws	3.1	NEUTRAL	A_neutral_B	B_contradicts_A	A nude lady walks in front of a crowd in body paint.	A nude lady walks in front of a crowd in body paint.	FLICKR	FLICKR	TRAIN	2611651553_61f859837e.jpg#1
159	305	S1S2_inter	A nude lady is walking in front of a crowd in body paint	S1_null	A topless girl is covered in paint	S2_null	3.8	ENTAILMENT	A_entails_B	B_neutral_A	A nude lady walks in front of a crowd in body paint.	A young woman, topless except for paint or mud.	FLICKR	FLICKR	TRAIN	2611651553_61f859837e.jpg#1
160	310	S1S1_inter	A nude lady is walking in front of a crowd in body paint	S1_null	A young, topless woman is covered in paint	S1_null	4.2	NEUTRAL	A_neutral_B	B_neutral_A	A nude lady walks in front of a crowd in body paint.	A young woman, topless except for paint or mud.	FLICKR	FLICKR	TRAIN	2611651553_61f859837e.jpg#1
161	303	S1S2_intra	A young, topless woman is covered in paint	S1_null	A topless girl is covered in paint	S2_lex	4.4	ENTAILMENT	A_entails_B	B_entails_A	A young woman, topless except for paint or mud.	A young woman, topless except for paint or mud.	FLICKR	FLICKR	TRAIN	2611651553_61f859837e.jpg#4
163	312	S1S3_intra	A crowd of people is near the water	S1_null	A crowd of people is far from the water	S3_so	3.8	CONTRADICTION	A_contradicts_B	B_contradicts_A	Crowd of people near the water.	Crowd of people near the water.	FLICKR	FLICKR	TRAIN	1962729184_6996e128e7.jpg#3
166	313	S1S2_intra	A group of children in uniforms is standing at a gate and one is kissing the mother	S1_null	A group of children wearing the same clothes is waiting at a gate and one is kissing the mother	S2_expn,lex	4.5	ENTAILMENT	A_entails_B	B_entails_A	Group of schoolchildren in uniforms standing at a gate, one kissing her mother goodbye.	Group of schoolchildren in uniforms standing at a gate, one kissing her mother goodbye.	FLICKR	FLICKR	TRAIN	1962729184_6996e128e7.jpg#4
168	323	S1S3_intra	A man is in a parking lot and is playing tennis against a large wall	S1_null	A man is in a parking lot and is playing tennis against a friend	S3_so	3.9	NEUTRAL	A_neutral_B	B_contradicts_A	A man is playing tennis with himself against a large wall in a parking lot.	A man is playing tennis with himself against a large wall in a parking lot.	FLICKR	FLICKR	TRAIN	1432179046_8e3d75cf81.jpg#1
173	327	S1S3_inter	A man is in a parking lot and is playing tennis against a large wall	S1_null	There is no man pointing at a car	S3_null	1.5	NEUTRAL	A_neutral_B	B_neutral_A	A man in the near distance is pointing to a silver sedan near him.	A man is playing tennis with himself against a large wall in a parking lot.	FLICKR	FLICKR	TRAIN	1432179046_8e3d75cf81.jpg#0
175	331	S1S2_intra	A group of people is on a beach	S1_null	A group of people is near the sea	S2_lex	4.0	ENTAILMENT	A_entails_B	B_neutral_A	A group of people at a distance on a beach.	A group of people at a distance on a beach.	FLICKR	FLICKR	TRAIN	3088322308_b0c940b3a3.jpg#0
176	332	S1S3_intra	A group of people is on a beach	S1_null	A group of people is on a mountain	S3_so	2.6	NEUTRAL	A_neutral_B	B_neutral_A	A group of people at a distance on a beach.	A group of people at a distance on a beach.	FLICKR	FLICKR	TRAIN	3088322308_b0c940b3a3.jpg#0
177	339	S1S1_inter	A man, a woman and two girls are walking on the beach	S1_null	A group of people is on a beach	S1_null	4.3	ENTAILMENT	A_entails_B	B_neutral_A	A group of people at a distance on a beach.	A man, woman, and two girls walk on the beach barefoot.	FLICKR	FLICKR	TRAIN	3088322308_b0c940b3a3.jpg#0
178	333	S1S2_intra	A man, a woman and two girls are walking on the beach	S1_null	Four people are walking on the beach	S2_det	4.5	ENTAILMENT	A_entails_B	B_neutral_A	A man, woman, and two girls walk on the beach barefoot.	A man, woman, and two girls walk on the beach barefoot.	FLICKR	FLICKR	TRAIN	3088322308_b0c940b3a3.jpg#1
180	335	S1S2_inter	A group of people is on a beach	S1_null	Four people are walking on the beach	S2_null	4.6	NEUTRAL	A_neutral_B	B_neutral_A	A man, woman, and two girls walk on the beach barefoot.	A group of people at a distance on a beach.	FLICKR	FLICKR	TRAIN	3088322308_b0c940b3a3.jpg#1
182	338	S1S3_inter	A man, a woman and two girls are walking on the beach	S1_null	A group of people is on a mountain	S3_null	1.4	NEUTRAL	A_neutral_B	B_neutral_A	A man, woman, and two girls walk on the beach barefoot.	A group of people at a distance on a beach.	FLICKR	FLICKR	TRAIN	3088322308_b0c940b3a3.jpg#1
183	342	S1S4_intra	A girl with a black bag is on a crowded train	S1_null	A cramped black train is on the bag of a girl	S4_ws	2.7	NEUTRAL	A_neutral_B	B_neutral_A	A girl with a black bag in a cramped position on a train	A girl with a black bag in a cramped position on a train	FLICKR	FLICKR	TRAIN	498748832_941faaaf40.jpg#0
184	346	S1S3_inter	A girl with a black bag is on a crowded train	S1_null	An Asian woman in a crowd is not carrying a black bag	S3_null	2.5	NEUTRAL	A_neutral_B	B_neutral_A	A girl with a black bag in a cramped position on a train	Asian woman in crowd, carrying black bag with pain and spiked knuckle graphic.	FLICKR	FLICKR	TRAIN	498748832_941faaaf40.jpg#0
188	351	S1S2_intra	A dog is chasing another and is holding a stick in its mouth	S1_null	A dog is chasing another and is holding a piece of wood in its mouth	S2_expn	4.6	ENTAILMENT	A_entails_B	B_entails_A	A German Shepherd chases another with a stick in his mouth.	A German Shepherd chases another with a stick in his mouth.	FLICKR	FLICKR	TRAIN	78984436_ad96eaa802.jpg#0
190	361	S1S1_inter	A dog is chasing another and is holding a stick in its mouth	S1_null	Two dogs are running and carrying an object in their mouths	S1_null	4.0	ENTAILMENT	A_entails_B	B_neutral_A	A German Shepherd chases another with a stick in his mouth.	Two German shepherd dogs are running with an object in one's mouth.	FLICKR	FLICKR	TRAIN	78984436_ad96eaa802.jpg#0
191	360	S1S4_inter	Two dogs are running and carrying an object in their mouths	S1_null	A dog is chasing a stick and holding another dog in its mouth	S4_null	3.2	NEUTRAL	A_neutral_B	B_neutral_A	Two German shepherd dogs are running with an object in one's mouth.	A German Shepherd chases another with a stick in his mouth.	FLICKR	FLICKR	TRAIN	78984436_ad96eaa802.jpg#3
192	367	S1S3_inter	A soccer ball is rolling into a goal net	S1_null	A soccer player is kicking a ball out of the goal	S3_null	3.2	NEUTRAL	A_neutral_B	B_neutral_A	View of a soccer ball being kicked into a goal net	A soccer player kicks a ball into the unmanned goal.	FLICKR	FLICKR	TRAIN	3363836972_c87b58c948.jpg#4
193	370	S1S1_inter	A soccer ball is rolling into a goal net	S1_null	A soccer player is kicking a ball into the goal	S1_null	4.3	NEUTRAL	A_neutral_B	B_neutral_A	View of a soccer ball being kicked into a goal net	A soccer player kicks a ball into the unmanned goal.	FLICKR	FLICKR	TRAIN	3363836972_c87b58c948.jpg#4
195	372	S1S3_intra	A man is sitting on a chair and rubbing his eyes	S1_null	There is no man sitting on a chair and rubbing his eyes	S3_od	3.8	CONTRADICTION	A_contradicts_B	B_contradicts_A	A man sitting on a chair rubbing his eye.	A man sitting on a chair rubbing his eye.	FLICKR	FLICKR	TRAIN	2319087586_919472310f.jpg#2
197	377	S1S3_inter	A man is sitting on a chair and rubbing his eyes	S1_null	A man with tattoos is lounging on a couch and is looking for a pencil	S3_null	2.1	NEUTRAL	A_neutral_B	B_neutral_A	A man sitting on a chair rubbing his eye.	A man with tattoos is lounging on a couch holding a pencil.	FLICKR	FLICKR	TRAIN	2319087586_919472310f.jpg#2
