pair_ID	pair_type	sentence_A	sentence_A_expRule	sentence_B	sentence_B_expRule	relatedness_score	entailment_label	entailment_AB	entailment_BA	sentence_A_original	sentence_B_original	sentence_A_dataset	sentence_B_dataset	SemEval_set
28	S1S4_inter	A person on a black motorbike is doing tricks with a jacket	S4_null	A person is riding the bicycle on one wheel	S1_null	3.4	NEUTRAL	A_neutral_B	B_neutral_A	A person rides their bicycle onto a rock and balances on one wheel.	A person in a black jacket doing tricks on a motorbike.	FLICKR	FLICKR	TRAIN
30	S1S2_intra	A man with a jersey is dunking the ball at a basketball game	S1_null	The ball is being dunked by a man with a jersey at a basketball game	S2_top	4.9	ENTAILMENT	A_entails_B	B_entails_A	A man with jersey 23 is dunking the ball at a basket ball game.	A man with jersey 23 is dunking the ball at a basket ball game.	FLICKR	FLICKR	TRAIN
35	S1S2_inter	A man with a jersey is dunking the ball at a basketball game	S1_null	A man who is playing dunks the basketball into the net and a crowd is in background	S2_null	3.6	NEUTRAL	A_neutral_B	B_neutral_A	A man with jersey 23 is dunking the ball at a basket ball game.	Player number 23 dunks the basketball into the net with a crowd in the background.	FLICKR	FLICKR	TRAIN
40	S1S1_inter	The player is dunking the basketball into the net and a crowd is in background	S1_null	A man with a jersey is dunking the ball at a basketball game	S1_null	3.8	NEUTRAL	A_neutral_B	B_neutral_A	A man with jersey 23 is dunking the ball at a basket ball game.	Player number 23 dunks the basketball into the net with a crowd in the background.	FLICKR	FLICKR	TRAIN
42	S1S3_intra	Two people are kickboxing and spectators are not watching	S3_inv	Two people are kickboxing and spectators are watching	S1_null	3.4	CONTRADICTION	A_contradicts_B	B_contradicts_A	Two people kick boxing, with others spectating.	Two people kick boxing, with others spectating.	FLICKR	FLICKR	TRAIN
44	S1S2_intra	Two young women are sparring in a kickboxing fight	S2_aa,lex	Two women are sparring in a kickboxing match	S1_null	4.9	ENTAILMENT	A_entails_B	B_entails_A	Two woman spar in a kickboxing match.	Two woman spar in a kickboxing match.	FLICKR	FLICKR	TRAIN
45	S1S3_intra	Two young women are not sparring in a kickboxing fight	S3_inv	Two women are sparring in a kickboxing match	S1_null	3.9	NEUTRAL	A_contradicts_B	B_neutral_A	Two woman spar in a kickboxing match.	Two woman spar in a kickboxing match.	FLICKR	FLICKR	TRAIN
47	S1S3_inter	Two people are kickboxing and spectators are watching	S1_null	Two young women are not sparring in a kickboxing fight	S3_null	3.415	NEUTRAL	A_neutral_B	B_neutral_A	Two people kick boxing, with others spectating.	Two woman spar in a kickboxing match.	FLICKR	FLICKR	TRAIN
49	S1S3_inter	Two women are sparring in a kickboxing match	S1_null	Two people are kickboxing and spectators are not watching	S3_null	3.7	NEUTRAL	A_neutral_B	B_neutral_A	Two woman spar in a kickboxing match.	Two people kick boxing, with others spectating.	FLICKR	FLICKR	TRAIN
55	S1S2_intra	Three boys are jumping in the leaves	S2_lex	Three kids are jumping in the leaves	S1_null	4.4	ENTAILMENT	A_entails_B	B_neutral_A	Three kids jumping in leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN
56	S1S3_intra	Three kids are sitting in the leaves	S3_so	Three kids are jumping in the leaves	S1_null	3.8	NEUTRAL	A_contradicts_B	B_neutral_A	Three kids jumping in leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN
58	S1S3_inter	Children in red shirts are playing in the leaves	S1_null	Three kids are sitting in the leaves	S3_null	3.5	NEUTRAL	A_neutral_B	B_neutral_A	Children in red shirts play in the leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN
62	S1S1_inter	Children in red shirts are playing in the leaves	S1_null	Three kids are jumping in the leaves	S1_null	4.0	NEUTRAL	A_neutral_B	B_neutral_A	Children in red shirts play in the leaves.	Three kids jumping in leaves.	FLICKR	FLICKR	TRAIN
65	S1S4_intra	Two angels are making snow on the lying children	S4_ws	Two children are lying in the snow and are making snow angels	S1_null	2.9	NEUTRAL	A_neutral_B	B_neutral_A	Two children lying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TRAIN
70	S1S2_inter	Two children are lying in the snow and are drawing angels	S2_null	Two people in snowsuits are lying in the snow and making snow angels	S1_null	4.1	NEUTRAL	A_neutral_B	B_neutral_A	Two people in snowsuits laying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TRAIN
72	S1S4_inter	Two people in snowsuits are lying in the snow and making snow angels	S1_null	Two angels are making snow on the lying children	S4_null	2.5	NEUTRAL	A_neutral_B	B_neutral_A	Two people in snowsuits laying in the snow making snow angels	Two children lying in the snow making snow angels	FLICKR	FLICKR	TRAIN
73	S1S1_inter	Two children are lying in the snow and are making snow angels	S1_null	Two people in snowsuits are lying in the snow and making snow angels	S1_null	4.2	NEUTRAL	A_neutral_B	B_neutral_A	Two children lying in the snow making snow angels	Two people in snowsuits laying in the snow making snow angels	FLICKR	FLICKR	TRAIN
77	S1S2_intra	People wearing costumes are gathering in a forest and are looking in the same direction	S1_null	Masked people are looking in the same direction in a forest	S2_lex	4.4	ENTAILMENT	A_entails_B	B_neutral_A	People with costumes are gathered in a wooded area looking the same direction.	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TRAIN
78	S1S3_intra	People wearing costumes are gathering in a forest and are looking in the same direction	S1_null	People wearing costumes are scattering in a forest and are looking in different directions	S3_inv	3.2	NEUTRAL	A_neutral_B	B_contradicts_A	People with costumes are gathered in a wooded area looking the same direction.	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TRAIN
79	S1S4_intra	People are looking at some costumes gathered in the vicinity of the forest	S4_ws	People wearing costumes are gathering in a forest and are looking in the same direction	S1_null	3.635	NEUTRAL	A_neutral_B	B_neutral_A	People with costumes are gathered in a wooded area looking the same direction.	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TRAIN
81	S1S3_inter	A little girl is looking at a woman in costume	S1_null	People wearing costumes are scattering in a forest and are looking in different directions	S3_null	2.4	NEUTRAL	A_neutral_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TRAIN
82	S1S4_inter	A little girl is looking at a woman in costume	S1_null	People are looking at some costumes gathered in the vicinity of the forest	S4_null	2.6	NEUTRAL	A_neutral_B	B_neutral_A	The back of a woman in costume ; little girl looks at her	People with costumes are gathered in a wooded area looking the same direction.	FLICKR	FLICKR	TRAIN
83	S1S2_inter	A young girl is looking at a woman in costume	S2_null	People wearing costumes are gathering in a forest and are looking in the same direction	S1_null	2.2	NEUTRAL	A_neutral_B	B_neutral_A	People with costumes are gathered in a wooded area looking the same direction.	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TRAIN
84	S1S3_inter	People wearing costumes are gathering in a forest and are looking in the same direction	S1_null	The little girl is looking at a man in costume	S3_null	3.0	NEUTRAL	A_neutral_B	B_neutral_A	People with costumes are gathered in a wooded area looking the same direction.	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TRAIN
85	S1S4_inter	People wearing costumes are gathering in a forest and are looking in the same direction	S1_null	A little girl in costume looks like a woman	S4_null	2.0	NEUTRAL	A_neutral_B	B_neutral_A	People with costumes are gathered in a wooded area looking the same direction.	The back of a woman in costume ; little girl looks at her	FLICKR	FLICKR	TRAIN
87	S1S2_intra	A lone biker is jumping in the air	S1_null	A biker is jumping in the air, alone	S2_lex	5.0	ENTAILMENT	A_entails_B	B_entails_A	a lone bicyclists jumping in the air over a ramp.	a lone bicyclists jumping in the air over a ramp.	FLICKR	FLICKR	TRAIN
88	S1S3_intra	There is no biker jumping in the air	S3_od	A lone biker is jumping in the air	S1_null	4.2	CONTRADICTION	A_contradicts_B	B_contradicts_A	a lone bicyclists jumping in the air over a ramp.	a lone bicyclists jumping in the air over a ramp.	FLICKR	FLICKR	TRAIN
90	S1S3_intra	A man is jumping into an empty pool	S1_null	A man is jumping into a full pool	S3_so	3.0	CONTRADICTION	A_contradicts_B	B_contradicts_A	A man does bike jumps in the dark in an empty pool.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TRAIN
91	S1S4_intra	A man is jumping into an empty pool	S1_null	The man's jumper is in the empty pool	S4_ws	3.1	NEUTRAL	A_neutral_B	B_neutral_A	A man does bike jumps in the dark in an empty pool.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TRAIN
93	S1S3_inter	A lone biker is jumping in the air	S1_null	A man is jumping into a full pool	S3_null	1.7	NEUTRAL	A_neutral_B	B_neutral_A	A man does bike jumps in the dark in an empty pool.	a lone bicyclists jumping in the air over a ramp.	FLICKR	FLICKR	TRAIN
94	S1S4_inter	The man's jumper is in the empty pool	S4_null	A lone biker is jumping in the air	S1_null	1.4	NEUTRAL	A_neutral_B	B_neutral_A	a lone bicyclists jumping in the air over a ramp.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TRAIN
97	S1S1_inter	A lone biker is jumping in the air	S1_null	A man is jumping into an empty pool	S1_null	1.5	NEUTRAL	A_neutral_B	B_neutral_A	a lone bicyclists jumping in the air over a ramp.	A man does bike jumps in the dark in an empty pool.	FLICKR	FLICKR	TRAIN
98	S1S2_intra	Four kids are doing backbends in the park	S2_lex	Four children are doing backbends in the park	S1_null	4.8	ENTAILMENT	A_entails_B	B_entails_A	Four children do backbends in the park.	Four children do backbends in the park.	FLICKR	FLICKR	TRAIN
99	S1S3_intra	Four children are doing backbends in the gym	S3_so	Four children are doing backbends in the park	S1_null	3.8	NEUTRAL	A_neutral_B	B_neutral_A	Four children do backbends in the park.	Four children do backbends in the park.	FLICKR	FLICKR	TRAIN
100	S1S2_intra	Four girls are doing backbends and playing in the garden	S2_lex	Four girls are doing backbends and playing outdoors	S1_null	4.1	ENTAILMENT	A_entails_B	B_neutral_A	Four girls do backbends while playing outdoors.	Four girls do backbends while playing outdoors.	FLICKR	FLICKR	TRAIN
107	S1S2_intra	A man who is playing is running with the ball in his hands	S2_expn	A player is running with the ball	S1_null	4.3	ENTAILMENT	A_entails_B	B_neutral_A	A running back running with the football.	A running back running with the football.	FLICKR	FLICKR	TRAIN
112	S1S2_inter	Two groups of people are playing football	S2_null	A player is running with the ball	S1_null	2.1	NEUTRAL	A_neutral_B	B_neutral_A	A running back running with the football.	Two teams compete in football.	FLICKR	FLICKR	TRAIN
113	S1S3_inter	Two teams are competing in a baseball game	S3_null	A player is running with the ball	S1_null	3.0	NEUTRAL	A_neutral_B	B_neutral_A	A running back running with the football.	Two teams compete in football.	FLICKR	FLICKR	TRAIN
117	S1S1_inter	A player is running with the ball	S1_null	Two teams are competing in a football match	S1_null	2.6	NEUTRAL	A_neutral_B	B_neutral_A	A running back running with the football.	Two teams compete in football.	FLICKR	FLICKR	TRAIN
120	S1S4_intra	Five wooden stands are in front of each child's hut	S4_ws	Five children are standing in front of a wooden hut	S1_null	3.2	NEUTRAL	A_neutral_B	B_neutral_A	Five children are standing in front of a wooden hut.	Five children are standing in front of a wooden hut.	FLICKR	FLICKR	TRAIN
122	S1S3_intra	Five kids are standing close together and one kid has a gun	S1_null	Five kids are standing close together and none of the kids has a gun	S3_od	3.7	CONTRADICTION	A_contradicts_B	B_contradicts_A	There are five kids standing next to each other, and the one in the red has a gun.	There are five kids standing next to each other, and the one in the red has a gun.	FLICKR	FLICKR	TRAIN
124	S1S3_inter	Five kids are standing close together and none of the kids has a gun	S3_null	Five children are standing in front of a wooden hut	S1_null	2.6	NEUTRAL	A_neutral_B	B_neutral_A	Five children are standing in front of a wooden hut.	There are five kids standing next to each other, and the one in the red has a gun.	FLICKR	FLICKR	TRAIN
126	S1S3_inter	Five children are standing in a wooden hut	S3_null	Five kids are standing close together and one kid has a gun	S1_null	2.7	NEUTRAL	A_neutral_B	B_neutral_A	There are five kids standing next to each other, and the one in the red has a gun.	Five children are standing in front of a wooden hut.	FLICKR	FLICKR	TRAIN
127	S1S4_inter	Five wooden stands are in front of each child's hut	S4_null	Five kids are standing close together and one kid has a gun	S1_null	2.3	NEUTRAL	A_neutral_B	B_neutral_A	There are five kids standing next to each other, and the one in the red has a gun.	Five children are standing in front of a wooden hut.	FLICKR	FLICKR	TRAIN
129	S1S2_intra	An old man is sitting in a field	S2_aa	A man is sitting in a field	S1_null	4.4	ENTAILMENT	A_entails_B	B_neutral_A	A man sitting cross-legged in a field	A man sitting cross-legged in a field	FLICKR	FLICKR	TRAIN
130	S1S3_intra	A man is sitting in a field	S1_null	A man is running in a field	S3_so	2.6	NEUTRAL	A_neutral_B	B_neutral_A	A man sitting cross-legged in a field	A man sitting cross-legged in a field	FLICKR	FLICKR	TRAIN
131	S1S2_intra	A person is wearing a hat and is sitting on the grass	S1_null	A person is sitting in a field and is wearing a hat	S2_lex	4.1	NEUTRAL	A_neutral_B	B_neutral_A	A person wearing a hat sits on the grass with a mountain behind him.	A person wearing a hat sits on the grass with a mountain behind him.	FLICKR	FLICKR	TRAIN
133	S1S4_intra	A person is sitting and wearing a grass hat	S4_ws	A person is wearing a hat and is sitting on the grass	S1_null	3.4	NEUTRAL	A_neutral_B	B_neutral_A	A person wearing a hat sits on the grass with a mountain behind him.	A person wearing a hat sits on the grass with a mountain behind him.	FLICKR	FLICKR	TRAIN
136	S1S4_inter	A person is sitting and wearing a grass hat	S4_null	A man is sitting in a field	S1_null	3.3	NEUTRAL	A_neutral_B	B_neutral_A	A man sitting cross-legged in a field	A person wearing a hat sits on the grass with a mountain behind him.	FLICKR	FLICKR	TRAIN
139	S1S1_inter	A man is sitting in a field	S1_null	A person is wearing a hat and is sitting on the grass	S1_null	3.8	NEUTRAL	A_neutral_B	B_neutral_A	A man sitting cross-legged in a field	A person wearing a hat sits on the grass with a mountain behind him.	FLICKR	FLICKR	TRAIN
140	S1S2_intra	The current is being ridden by a group of friends in a raft	S2_top	A group of friends are riding the current in a raft	S1_null	4.9	ENTAILMENT	A_entails_B	B_entails_A	A group of friends ride the current in a raft.	A group of friends ride the current in a raft.	FLICKR	FLICKR	TRAIN
141	S1S3_intra	A group of friends are riding the current in a raft	S1_null	A group is not riding the current in a raft	S3_inv	3.7	CONTRADICTION	A_contradicts_B	B_contradicts_A	A group of friends ride the current in a raft.	A group of friends ride the current in a raft.	FLICKR	FLICKR	TRAIN
146	S1S2_inter	The current is being ridden by a group of friends in a raft	S2_null	This group of people is practicing water safety and wearing preservers	S1_null	3.2	NEUTRAL	A_neutral_B	B_neutral_A	this group of people are practicing water safety by wearing preservers while in a raft on the river	A group of friends ride the current in a raft.	FLICKR	FLICKR	TRAIN
148	S1S1_inter	A group of friends are riding the current in a raft	S1_null	This group of people is practicing water safety and wearing preservers	S1_null	3.1	NEUTRAL	A_neutral_B	B_neutral_A	A group of friends ride the current in a raft.	this group of people are practicing water safety by wearing preservers while in a raft on the river	FLICKR	FLICKR	TRAIN
150	S1S3_intra	A deer is jumping over a fence	S1_null	A deer isn't jumping over the fence	S3_inv	3.9	CONTRADICTION	A_contradicts_B	B_contradicts_A	A deer is jumping over a fence.	A deer is jumping over a fence.	FLICKR	FLICKR	TRAIN
159	S1S3_intra	People are walking inside a building that has many murals on it	S3_so	People are walking outside a building that has many murals on it	S1_null	3.4	NEUTRAL	A_neutral_B	B_neutral_A	People walk outside of a building that has many murals painted on it.	People walk outside of a building that has many murals painted on it.	FLICKR	FLICKR	TRAIN
161	S1S3_intra	Several people are in front of a colorful building	S1_null	Nobody is in front of the colorful building	S3_od	3.5	CONTRADICTION	A_contradicts_B	B_contradicts_A	Several people are in a front of a colorful painted building.	Several people are in a front of a colorful painted building.	FLICKR	FLICKR	TRAIN
163	S1S3_inter	People are walking outside a building that has many murals on it	S1_null	Nobody is in front of the colorful building	S3_null	3.6	NEUTRAL	A_contradicts_B	B_neutral_A	People walk outside of a building that has many murals painted on it.	Several people are in a front of a colorful painted building.	FLICKR	FLICKR	TRAIN
164	S1S2_inter	People are walking outside the building that has several murals on it	S2_null	Several people are in front of a colorful building	S1_null	3.6	ENTAILMENT	A_entails_B	B_neutral_A	Several people are in a front of a colorful painted building.	People walk outside of a building that has many murals painted on it.	FLICKR	FLICKR	TRAIN
170	S1S3_intra	A family is watching a little boy who is hitting a baseball	S1_null	A family is watching a little boy who is missing a baseball	S3_od	3.9	NEUTRAL	A_contradicts_B	B_neutral_A	A little boy hits a baseball while his family watches	A little boy hits a baseball while his family watches	FLICKR	FLICKR	TRAIN
173	S1S3_inter	A child is hitting a baseball	S1_null	A family is watching a little boy who is missing a baseball	S3_null	3.015	NEUTRAL	A_neutral_B	B_neutral_A	A child hits a baseball.	A little boy hits a baseball while his family watches	FLICKR	FLICKR	TRAIN
176	S1S3_inter	A child is missing a baseball	S3_null	A family is watching a little boy who is hitting a baseball	S1_null	2.7	NEUTRAL	A_neutral_B	B_neutral_A	A little boy hits a baseball while his family watches	A child hits a baseball.	FLICKR	FLICKR	TRAIN
183	S1S4_intra	A purple crowd of people is eating on various red lit restaurant tables	S4_ws	Various people are eating at red tables in a crowded restaurant with purple lights	S1_null	3.3	NEUTRAL	A_neutral_B	B_neutral_A	Various people are eating at red tables in a crowded restaurant with purple lights.	Various people are eating at red tables in a crowded restaurant with purple lights.	FLICKR	FLICKR	TRAIN
184	S1S2_inter	A large group of Asian people is eating at a restaurant	S1_null	Various customers are eating in a crowded restaurant with purple lights	S2_null	2.9	NEUTRAL	A_neutral_B	B_neutral_A	A large group of asian people are eating at a restaurant.	Various people are eating at red tables in a crowded restaurant with purple lights.	FLICKR	FLICKR	TRAIN
186	S1S4_inter	A purple crowd of people is eating on various red lit restaurant tables	S4_null	A large group of Asian people is eating at a restaurant	S1_null	3.1	NEUTRAL	A_neutral_B	B_neutral_A	Various people are eating at red tables in a crowded restaurant with purple lights.	A large group of asian people are eating at a restaurant.	FLICKR	FLICKR	TRAIN
188	S1S3_inter	Various people are eating at red tables in a crowded restaurant with purple lights	S1_null	A small group of people is waiting to eat in a restaurant	S3_null	3.2	NEUTRAL	A_neutral_B	B_neutral_A	Various people are eating at red tables in a crowded restaurant with purple lights.	A large group of asian people are eating at a restaurant.	FLICKR	FLICKR	TRAIN
192	S1S3_intra	A motorcycle rider is standing up on the seat of a white motorcycle	S1_null	No motorcycle rider is standing up on the seat of a motorcycle	S3_od	3.8	CONTRADICTION	A_contradicts_B	B_contradicts_A	A motorcycle rider starts to sand up on the seat of his white motorcycle.	A motorcycle rider starts to sand up on the seat of his white motorcycle.	FLICKR	FLICKR	TRAIN
194	S1S3_intra	Nobody is on a motorcycle and is standing on the seat	S3_od	Someone is on a black and white motorcycle and is standing on the seat	S1_null	3.7	CONTRADICTION	A_contradicts_B	B_contradicts_A	Someone is on a black and white motorcycle and putting their feet on the seat.	Someone is on a black and white motorcycle and putting their feet on the seat.	FLICKR	FLICKR	TRAIN
200	S1S2_intra	A motorcyclist is riding a motorbike dangerously along a roadway	S2_aa	A motorcyclist is riding a motorbike along a roadway	S1_null	4.6	ENTAILMENT	A_entails_B	B_neutral_A	A motorcyclist is riding their sponsored car along a roadway that has recently turned.	A motorcyclist is riding their sponsored car along a roadway that has recently turned.	FLICKR	FLICKR	TRAIN
201	S1S3_intra	There is no motorcyclist riding a motorbike along a roadway	S3_od	A motorcyclist is riding a motorbike along a roadway	S1_null	3.7	CONTRADICTION	A_contradicts_B	B_contradicts_A	A motorcyclist is riding their sponsored car along a roadway that has recently turned.	A motorcyclist is riding their sponsored car along a roadway that has recently turned.	FLICKR	FLICKR	TRAIN
202	S1S2_intra	A man with a helmet painted red is riding a blue motorcycle down the road	S2_lex,expa	A motorcyclist with a red helmet is riding a blue motorcycle down the road	S1_null	4.8	ENTAILMENT	A_entails_B	B_entails_A	A motorcyclist with a red helmet rides his blue motorcycle down the road.	A motorcyclist with a red helmet rides his blue motorcycle down the road.	FLICKR	FLICKR	TRAIN
205	S1S3_inter	A motorcyclist without a helmet is waiting on a blue motorcycle near the road	S3_null	A motorcyclist is riding a motorbike along a roadway	S1_null	3.3	NEUTRAL	A_neutral_B	B_neutral_A	A motorcyclist is riding their sponsored car along a roadway that has recently turned.	A motorcyclist with a red helmet rides his blue motorcycle down the road.	FLICKR	FLICKR	TRAIN
215	S1S2_inter	Two dogs are playing by a tree	S1_null	A dog is catching a stick in the air and another is watching	S2_null	3.7	NEUTRAL	A_neutral_B	B_neutral_A	Two dogs play by a tree.	A dog leaps high in the air while another watches.	FLICKR	FLICKR	TRAIN
216	S1S3_inter	Two dogs are playing by a tree	S1_null	There is no dog leaping in the air	S3_null	2.7	NEUTRAL	A_neutral_B	B_neutral_A	Two dogs play by a tree.	A dog leaps high in the air while another watches.	FLICKR	FLICKR	TRAIN
217	S1S1_inter	Two dogs are playing by a tree	S1_null	A dog is leaping high in the air and another is watching	S1_null	3.0	NEUTRAL	A_neutral_B	B_neutral_A	A dog leaps high in the air while another watches.	Two dogs play by a tree.	FLICKR	FLICKR	TRAIN
223	S1S2_inter	A girl in white is dancing	S1_null	The dancer is dancing in front of the sound equipment	S2_null	4.0	NEUTRAL	A_neutral_B	B_neutral_A	A girl in white dances.	The blonde girl is dancing on stage in front of the sound equipment.	FLICKR	FLICKR	TRAIN
224	S1S3_inter	A girl in white is dancing	S1_null	The blond girl is dancing behind the sound equipment	S3_null	3.3	NEUTRAL	A_neutral_B	B_neutral_A	A girl in white dances.	The blonde girl is dancing on stage in front of the sound equipment.	FLICKR	FLICKR	TRAIN
226	S1S2_inter	A girl is wearing white clothes and is dancing	S2_null	The blond girl is dancing in front of the sound equipment	S1_null	3.5	NEUTRAL	A_neutral_B	B_neutral_A	A girl in white dances.	The blonde girl is dancing on stage in front of the sound equipment.	FLICKR	FLICKR	TRAIN
227	S1S3_inter	The blond girl is dancing in front of the sound equipment	S1_null	There is no girl in white dancing	S3_null	3.3	NEUTRAL	A_neutral_B	B_neutral_A	The blonde girl is dancing on stage in front of the sound equipment.	A girl in white dances.	FLICKR	FLICKR	TRAIN
232	S1S3_intra	Three Asian kids are dancing and a man is looking	S1_null	Three Asian kids are dancing and there is no man looking	S3_inv	3.9	CONTRADICTION	A_contradicts_B	B_contradicts_A	Three Asian kids dance while a man looks on.	Three Asian kids dance while a man looks on.	FLICKR	FLICKR	TRAIN
233	S1S4_intra	Three Asian kids are dancing and a man is looking	S1_null	An Asian man is dancing and three kids are looking	S4_ws	3.7	NEUTRAL	A_neutral_B	B_neutral_A	Three Asian kids dance while a man looks on.	Three Asian kids dance while a man looks on.	FLICKR	FLICKR	TRAIN
234	S1S2_inter	The children of a family are playing and waiting	S1_null	Three Asian kids are dancing and a serious man is looking	S2_null	1.9	NEUTRAL	A_neutral_B	B_neutral_A	The children of a family play while they wait.	Three Asian kids dance while a man looks on.	FLICKR	FLICKR	TRAIN
237	S1S2_inter	The children of a family are patiently playing and waiting	S2_null	Three Asian kids are dancing and a man is looking	S1_null	2.3	NEUTRAL	A_neutral_B	B_neutral_A	Three Asian kids dance while a man looks on.	The children of a family play while they wait.	FLICKR	FLICKR	TRAIN
238	S1S3_inter	There are no children playing and waiting	S3_null	Three Asian kids are dancing and a man is looking	S1_null	1.6	NEUTRAL	A_neutral_B	B_neutral_A	Three Asian kids dance while a man looks on.	The children of a family play while they wait.	FLICKR	FLICKR	TRAIN
240	S1S2_intra	A woman is wearing an Egyptian hat on her head	S2_lex	A woman is wearing an Egyptian headdress	S1_null	4.3	ENTAILMENT	A_entails_B	B_entails_A	A woman wears an Egytian-like headdress.	A woman wears an Egytian-like headdress.	FLICKR	FLICKR	TRAIN
241	S1S3_intra	A woman is wearing an Egyptian headdress	S1_null	A woman is wearing an Indian headdress	S3_so	4.0	NEUTRAL	A_neutral_B	B_neutral_A	A woman wears an Egytian-like headdress.	A woman wears an Egytian-like headdress.	FLICKR	FLICKR	TRAIN
248	S1S4_inter	The black woman is wearing glasses over the headdress	S4_null	A woman is wearing an Egyptian headdress	S1_null	3.6	NEUTRAL	A_neutral_B	B_neutral_A	The woman in glasses is wearing a black head dress.	A woman wears an Egytian-like headdress.	FLICKR	FLICKR	TRAIN
249	S1S2_inter	A woman is wearing an Egyptian hat on her head	S2_null	The woman is wearing glasses and a black headdress	S1_null	2.5	NEUTRAL	A_neutral_B	B_neutral_A	The woman in glasses is wearing a black head dress.	A woman wears an Egytian-like headdress.	FLICKR	FLICKR	TRAIN
254	S1S3_intra	A hiker is on top of the mountain and is dancing	S1_null	There is no hiker dancing on top of the mountain	S3_od	3.2	CONTRADICTION	A_contradicts_B	B_contradicts_A	This hiker does a dance of joy on top of the mountain.	This hiker does a dance of joy on top of the mountain.	FLICKR	FLICKR	TRAIN
